reporting_marks,roster_id,car_type,length_ft,capy_tons,load_limit_tons,tare_tons
BO10389,BO10389,Hopper,40,70.00,83.95,27.70
BO11027,BO11027,Hopper,40,70.00,83.95,27.70
BO11137,BO11137,Hopper,40,70.00,83.95,27.70
BO132315,BO132315,Hopper,50,55.00,,24.75
BO132392,BO132392,Hopper,50,,,
BO133007,BO133007,Hopper,50,55.00,,24.75
BO2235,BO2235,Locomotive,,,,
BO283057,BO283057,Boxcar,50,50.00,60.50,28.20
BO283069,BO283069,Boxcar,50,50.00,60.50,28.20
BO30222,BO30222,Hopper,34,,,
BO30963,BO30963,Hopper,34,,,
BO31000,BO31000,Hopper,34,,,
BO3545,BO3545,Locomotive,,,,
BO371604,BO371604,Gondola,50,70.00,77.30,28.30
BO3840,BO3840,Locomotive,,,,
BO466063,BO466063,Boxcar,40,50.00,62.00,22.50
BO467071,BO467071,Boxcar,40,50.00,61.40,23.10
BO467439,BO467439,Boxcar,40,50.00,61.40,23.10
BO551470,BO551470,Gondola,50,77.00,75.00,31.55
BO572,BO572,Locomotive,,,,
BO600401,BO600401,Hopper,40,100.00,102.25,29.25
BO600409,BO600409,Hopper,40,100.00,102.25,29.25
BO600421,BO600421,Hopper,40,100.00,102.25,29.25
BO625082,BO625082,Hopper,40,,,
BO625238,BO625238,Hopper,40,70.00,79.90,25.10
BO625509,BO625509,Hopper,40,,,
BO625943,BO625943,Hopper,40,,,
BO628038,BO628038,Hopper,40,77.00,78.90,31.10
BO631140,BO631140,Hopper,34,227.00,84.05,
BO6944,BO6944,Locomotive,,,,
BO73133,BO73133,Hopper,45,70.00,84.20,25.80
BO8300,BO8300,Coil,55,75.00,76.85,33.15
BO8405,BO8405,Flatcar,53,70.00,74.50,30.50
BO8417,BO8417,Flatcar,53,70.00,74.50,30.50
BO8451,BO8451,Flatcar,53,70.00,74.50,30.50
BO8476,BO8476,Flatcar,53,70.00,74.50,30.50
BO9602,BO9602,Locomotive,,,,
CBQ171856,CBQ171856,Hopper,40,70.00,81.40,23.60
CO142374,CO142374,Hopper,,70.00,87.00,23.00
CO2052,CO2052,Hopper,40,77.00,78.90,31.10
CO2063,CO2063,Hopper,40,77.00,78.95,31.05
CO306607,CO306607,Coil,52,,,
CO377700,CO377700,MOW,,,,
CO8216,CO8216,Locomotive,,,,
CONRAIL1993,CONRAIL1993,Locomotive,,,,
COST1,COST1,MOW,40,,,40.00
COW86,COW86,MOW,,,,
CR477935,CR477935,Hopper,,100.00,102.15,29.35
CSX1827,CSX1827,Locomotive,,,,
EL66410,EL66410,Boxcar,50,50.00,39.20,49.45
EL8063,EL8063,Flatcar,52,77.00,77.90,31.60
GATX31090,GATX31090,Tank,40,55.00,,22.45
KSMX101,KSMX101,Hopper,34,70.00,78.75,26.25
KSMX105,KSMX105,Hopper,34,70.00,78.75,26.25
KSMX110,KSMX110,Hopper,34,70.00,78.75,26.25
MOW0017,MOW0017,MOW,40,,,
MSTL52763,MSTL52763,Boxcar,40,50.00,61.70,22.80
NW12986,NW12986,Hopper,40,70.00,73.15,24.80
NW12988,NW12988,Hopper,40,220.00,74.15,24.80
NW32800,NW32800,Flatcar,52,27.00,29.30,30.70
NYC47516,NYC47516,Boxcar,50,45.00,50.95,33.55
OHIOCENTRAL2091,OHIOCENTRAL2091,Locomotive,,,,
PRR474563,PRR474563,Flatcar,50,70.00,78.60,26.15
PRR498647,PRR498647,Tank,40,0.15,,
PRR702186,PRR702186,Hopper,,50.00,65.70,18.80
PRR728012,PRR728012,Hopper,,55.00,,
RDG107333,RDG107333,Boxcar,50,55.00,75.20,23.30
RDG99143,RDG99143,Coil,55,98.50,99.65,31.85
REX350,REX350,Reefer,50,,,
RMLI2018,RMLI2018,Boxcar,,,,
RMP50,RMP50,Boxcar,,,,
SHPX22329,SHPX22329,Tank,40,55.00,,22.45
TTC4678,TTC4678,Streetcar,,,,
URR15003,URR15003,Hopper,50,70.00,77.75,27.25
URR15022,URR15022,Hopper,50,70.00,77.75,27.25
URR15044,URR15044,Hopper,50,70.00,77.75,27.25
URTX63627,URTX63627,Reefer,40,50.00,7.80,22.65
UTLX32642,UTLX32642,Tank,40,50.00,,25.40
UTLX36299,UTLX36299,Tank,,50.00,,24.77
UTLX39042,UTLX39042,Tank,40,55.00,,22.45
WLE621,WLE621,Hopper,40,,79.15,25.85
